Starting safe image mapping flow...
ID 249 Linked to -> q_249_geo_america_sul_mundi.png
ID 240 Linked to -> q_240_geo_camadas_atmosfera.png
ID 384 Linked to -> q_384_mat_qvl_base.png
ID 253 Linked to -> q_253_geo_america_sul_mundi.png
ID 250 Linked to -> q_250_geo_america_sul_mundi.png
ID 427 Linked to -> q_427_mat_abaco_base.png
ID 187 Linked to -> q_187_geo_oceanos.png
ID 394 Linked to -> q_394_mat_qvl_base.png
ID 176 Linked to -> q_176_geo_oceanos.png
ID 210 Linked to -> q_210_geo_america_sul_mundi.png
ID 224 Linked to -> q_224_geo_america_sul_mundi.png
ID 269 Linked to -> q_269_geo_sol_poente.png
ID 188 Linked to -> q_188_geo_asia_mundi.png
ID 420 Linked to -> q_420_mat_abaco_base.png
ID 161 Linked to -> q_161_geo_bussola.png
ID 191 Linked to -> q_191_geo_oceanos.png
ID 402 Linked to -> q_402_mat_qvl_base.png
ID 400 Linked to -> q_400_mat_qvl_base.png
ID 1 Linked to -> q_1_geo_continentes.png
ID 15 Linked to -> q_15_geo_continentes.png
ID 415 Linked to -> q_415_mat_qvl_base.png
ID 391 Linked to -> q_391_mat_qvl_base.png
ID 417 Linked to -> q_417_mat_qvl_base.png
ID 390 Linked to -> q_390_mat_qvl_base.png
ID 410 Linked to -> q_410_mat_qvl_base.png
ID 381 Linked to -> q_381_mat_qvl_base.png
ID 447 Linked to -> q_447_mat_abaco_base.png
ID 95 Linked to -> q_95_geo_continentes.png
ID 405 Linked to -> q_405_mat_qvl_base.png
ID 182 Linked to -> q_182_geo_bussola.png
ID 183 Linked to -> q_183_geo_continentes.png
ID 208 Linked to -> q_208_geo_africa_mundi.png
ID 422 Linked to -> q_422_mat_abaco_base.png
ID 428 Linked to -> q_428_mat_abaco_base.png
ID 217 Linked to -> q_217_geo_continentes.png
ID 205 Linked to -> q_205_geo_continentes.png
ID 206 Linked to -> q_206_geo_continentes.png
ID 218 Linked to -> q_218_geo_asia_mundi.png
ID 209 Linked to -> q_209_geo_oceanos.png
ID 195 Linked to -> q_195_geo_globo_imaginarias.png
ID 62 Linked to -> q_62_geo_america_sul_mundi.png
ID 50 Linked to -> q_50_geo_bussola.png
ID 437 Linked to -> q_437_mat_abaco_base.png
ID 448 Linked to -> q_448_mat_abaco_base.png
ID 454 Linked to -> q_454_geo_sol_poente.png
ID 202 Linked to -> q_202_geo_bussola.png
ID 160 Linked to -> q_160_geo_america_sul_mundi.png
ID 399 Linked to -> q_399_mat_qvl_base.png
ID 233 Linked to -> q_233_geo_america_sul_mundi.png
ID 23 Linked to -> q_23_geo_africa_mundi.png
ID 22 Linked to -> q_22_geo_america_sul_mundi.png
ID 385 Linked to -> q_385_mat_qvl_base.png
ID 102 Linked to -> q_102_geo_america_sul_mundi.png
ID 470 Linked to -> q_470_geo_sol_poente.png
ID 111 Linked to -> q_111_geo_globo_imaginarias.png
ID 203 Linked to -> q_203_geo_america_sul_mundi.png
ID 219 Linked to -> q_219_geo_asia_mundi.png
ID 133 Linked to -> q_133_geo_bussola.png
ID 409 Linked to -> q_409_mat_qvl_base.png
ID 31 Linked to -> q_31_geo_globo_imaginarias.png
ID 51 Linked to -> q_51_geo_america_sul_mundi.png
ID 407 Linked to -> q_407_mat_qvl_base.png
ID 255 Linked to -> q_255_geo_america_sul_mundi.png
ID 388 Linked to -> q_388_mat_qvl_base.png
ID 418 Linked to -> q_418_mat_qvl_base.png
ID 438 Linked to -> q_438_mat_abaco_base.png
ID 446 Linked to -> q_446_mat_abaco_base.png
ID 430 Linked to -> q_430_mat_abaco_base.png
ID 452 Linked to -> q_452_geo_sol_poente.png
ID 401 Linked to -> q_401_mat_qvl_base.png
ID 439 Linked to -> q_439_mat_abaco_base.png
ID 65 Linked to -> q_65_geo_oceanos.png
ID 436 Linked to -> q_436_mat_abaco_base.png
ID 63 Linked to -> q_63_geo_america_sul_mundi.png
ID 476 Linked to -> q_476_geo_sol_poente.png
ID 433 Linked to -> q_433_mat_abaco_base.png
ID 193 Linked to -> q_193_geo_sol_nascendo.png
ID 431 Linked to -> q_431_mat_abaco_base.png
ID 444 Linked to -> q_444_mat_abaco_base.png
ID 396 Linked to -> q_396_mat_qvl_base.png
ID 386 Linked to -> q_386_mat_qvl_base.png
ID 471 Linked to -> q_471_geo_sol_poente.png
ID 52 Linked to -> q_52_geo_america_sul_mundi.png
ID 81 Linked to -> q_81_geo_bussola.png
ID 18 Linked to -> q_18_geo_africa_mundi.png
ID 98 Linked to -> q_98_geo_africa_mundi.png
ID 126 Linked to -> q_126_geo_camadas_atmosfera.png
ID 246 Linked to -> q_246_geo_camadas_atmosfera.png
ID 42 Linked to -> q_42_geo_camadas_terra.png
ID 145 Linked to -> q_145_geo_oceanos.png
ID 473 Linked to -> q_473_geo_sol_poente.png
ID 122 Linked to -> q_122_geo_camadas_terra.png
ID 46 Linked to -> q_46_geo_camadas_atmosfera.png
ID 2 Linked to -> q_2_geo_oceanos.png
ID 20 Linked to -> q_20_geo_oceanos.png
ID 143 Linked to -> q_143_geo_america_sul_mundi.png
ID 477 Linked to -> q_477_geo_sol_poente.png
ID 100 Linked to -> q_100_geo_oceanos.png
ID 21 Linked to -> q_21_geo_africa_mundi.png
ID 103 Linked to -> q_103_geo_africa_mundi.png
ID 178 Linked to -> q_178_geo_oceanos.png
ID 131 Linked to -> q_131_geo_america_sul_mundi.png
ID 252 Linked to -> q_252_geo_america_sul_mundi.png
ID 155 Linked to -> q_155_geo_oceanos.png
ID 17 Linked to -> q_17_geo_continentes.png
ID 97 Linked to -> q_97_geo_continentes.png
ID 16 Linked to -> q_16_geo_bussola.png
ID 3 Linked to -> q_3_geo_oceanos.png
ID 19 Linked to -> q_19_geo_oceanos.png
ID 75 Linked to -> q_75_geo_oceanos.png
ID 99 Linked to -> q_99_geo_oceanos.png
ID 227 Linked to -> q_227_geo_bussola.png
ID 190 Linked to -> q_190_geo_continentes.png
ID 466 Linked to -> q_466_geo_sol_poente.png
ID 225 Linked to -> q_225_geo_continentes.png
ID 211 Linked to -> q_211_geo_africa_mundi.png
ID 101 Linked to -> q_101_geo_africa_mundi.png
ID 235 Linked to -> q_235_geo_america_sul_mundi.png
ID 469 Linked to -> q_469_geo_sol_poente.png
ID 96 Linked to -> q_96_geo_bussola.png
ID 169 Linked to -> q_169_geo_bussola.png
ID 144 Linked to -> q_144_geo_america_sul_mundi.png
ID 53 Linked to -> q_53_geo_bussola.png
ID 397 Linked to -> q_397_mat_qvl_base.png
ID 108 Linked to -> q_108_geo_bussola.png
ID 130 Linked to -> q_130_geo_bussola.png
ID 132 Linked to -> q_132_geo_america_sul_mundi.png
ID 237 Linked to -> q_237_geo_oceanos.png
ID 463 Linked to -> q_463_geo_sol_poente.png
ID 64 Linked to -> q_64_geo_america_sul_mundi.png
ID 254 Linked to -> q_254_geo_america_sul_mundi.png
ID 196 Linked to -> q_196_geo_globo_imaginarias.png
ID 192 Linked to -> q_192_geo_rosa_ventos.png
ID 247 Linked to -> q_247_geo_america_sul_mundi.png
ID 468 Linked to -> q_468_geo_sol_poente.png
ID 229 Linked to -> q_229_geo_globo_equador.png
ID 472 Linked to -> q_472_geo_sol_poente.png
ID 479 Linked to -> q_479_geo_sol_poente.png
ID 395 Linked to -> q_395_mat_qvl_base.png
ID 426 Linked to -> q_426_mat_abaco_base.png
ID 387 Linked to -> q_387_mat_qvl_base.png
ID 406 Linked to -> q_406_mat_qvl_base.png
ID 462 Linked to -> q_462_geo_sol_poente.png
ID 389 Linked to -> q_389_mat_qvl_base.png
ID 457 Linked to -> q_457_geo_sol_poente.png
ID 382 Linked to -> q_382_mat_qvl_base.png
ID 451 Linked to -> q_451_geo_sol_poente.png
ID 464 Linked to -> q_464_geo_sol_poente.png
ID 408 Linked to -> q_408_mat_qvl_base.png
ID 460 Linked to -> q_460_geo_sol_poente.png
ID 393 Linked to -> q_393_mat_qvl_base.png
ID 467 Linked to -> q_467_geo_sol_poente.png
ID 475 Linked to -> q_475_geo_sol_poente.png
ID 414 Linked to -> q_414_mat_qvl_base.png
ID 459 Linked to -> q_459_geo_sol_poente.png
ID 441 Linked to -> q_441_mat_abaco_base.png
ID 478 Linked to -> q_478_geo_sol_poente.png
ID 416 Linked to -> q_416_mat_qvl_base.png
ID 458 Linked to -> q_458_geo_sol_poente.png
ID 383 Linked to -> q_383_mat_qvl_base.png
ID 413 Linked to -> q_413_mat_qvl_base.png
ID 419 Linked to -> q_419_mat_qvl_base.png
ID 423 Linked to -> q_423_mat_abaco_base.png
ID 412 Linked to -> q_412_mat_qvl_base.png
ID 442 Linked to -> q_442_mat_abaco_base.png
ID 440 Linked to -> q_440_mat_abaco_base.png
ID 461 Linked to -> q_461_geo_sol_poente.png
ID 392 Linked to -> q_392_mat_qvl_base.png
ID 453 Linked to -> q_453_geo_sol_poente.png
ID 429 Linked to -> q_429_mat_abaco_base.png
ID 425 Linked to -> q_425_mat_abaco_base.png
ID 474 Linked to -> q_474_geo_sol_poente.png
ID 403 Linked to -> q_403_mat_qvl_base.png
ID 404 Linked to -> q_404_mat_qvl_base.png
ID 411 Linked to -> q_411_mat_qvl_base.png
ID 465 Linked to -> q_465_geo_sol_poente.png
ID 449 Linked to -> q_449_mat_abaco_base.png
ID 380 Linked to -> q_380_mat_qvl_base.png
ID 398 Linked to -> q_398_mat_qvl_base.png
ID 456 Linked to -> q_456_geo_sol_poente.png

Completed safe links for 294 questions!
